date,n_pts,n_clusters,sil_coef,n_grouped,n_noise,topk_cluster_size
2025-03-01,228,14,0.3971494206558513,77,151,"[17, 13, 4]"
2025-03-02,198,10,0.2845156569980555,80,118,"[20, 19, 9]"
2025-03-03,500,29,0.0448061167065497,386,114,"[16, 11, 8]"
2025-03-04,533,24,0.0158274239936886,427,106,"[13, 11, 10]"
2025-03-05,506,20,0.0082471393542611,423,83,"[16, 11, 6]"
2025-03-06,481,34,0.1813101552452406,338,143,"[30, 21, 15]"
2025-03-07,518,33,0.0490408937339125,412,106,"[14, 12, 8]"
2025-03-08,221,18,0.360161856604913,86,135,"[6, 5, 5]"
2025-03-09,218,16,0.3124172011072693,94,124,"[26, 13, 7]"
2025-03-10,507,31,0.0685940912419783,410,97,"[29, 14, 13]"
2025-03-11,492,28,0.1143008795116287,372,120,"[33, 15, 13]"
2025-03-12,484,33,0.1236608495636893,386,98,"[31, 22, 8]"
2025-03-13,518,31,0.0749225189693418,426,92,"[23, 23, 16]"
2025-03-14,430,32,0.140111846581557,310,120,"[33, 17, 10]"
2025-03-15,209,15,0.4939258285020165,63,146,"[8, 7, 5]"
2025-03-16,199,19,0.4449295262142133,79,120,"[11, 6, 5]"
2025-03-17,450,45,0.2209238797794194,328,122,"[24, 12, 11]"
2025-03-18,472,36,0.1475735811032116,351,121,"[33, 14, 10]"
2025-03-19,478,36,0.1009155074424368,368,110,"[16, 12, 10]"
2025-03-20,459,35,0.1036917574843805,355,104,"[33, 19, 12]"
2025-03-21,403,35,0.1935609030010814,280,123,"[11, 10, 9]"
2025-03-22,208,19,0.3629418087018909,82,126,"[16, 8, 6]"
2025-03-23,189,10,0.4451962467515676,51,138,"[10, 9, 6]"
2025-03-24,465,34,0.1246318181319497,359,106,"[18, 13, 12]"
2025-03-25,507,42,0.1473136149411213,411,96,"[49, 13, 10]"
2025-03-26,489,34,0.2031359763152553,357,132,"[23, 18, 16]"
2025-03-27,488,23,0.0320465707106752,371,117,"[30, 11, 10]"
2025-03-28,447,29,0.1183360186693436,334,113,"[15, 9, 9]"
2025-03-29,224,15,0.4224061258225869,80,144,"[16, 13, 8]"
2025-03-30,206,17,0.3186127543155516,84,122,"[16, 15, 6]"
2025-03-31,467,33,0.09290679243125044,342,125,"[39, 10, 7]"
